STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED
Connecticut,Bridgeport,CT Submission Grappling,connecticutsubmissiongrappling,,12:00PM,y,
Massachusetts,Worcester,Worcester Martial Arts Academy,worcester_martial_arts_academy,,,,
Connecticut,Madison,Black Wolf Shoreline,blackwolfmartialarts_shoreline,,,,
New Hampshire,Concord,Averill's Martial Arts Academy,averills_martial_arts_academy,,,,
Massachusetts,Webster,Team Link BJJ and MMA,teamlinkbjjandmmawebster,,,,
Rhode Island,Providence,Tim Burrill BJJ,timburrillbrazilianjiujitsu,,,,
Connecticut,Manchester,FlowState Fighting & Fitness,flowstatefightingandfitness,9:00AM,,y,
New Hampshire,Brentwood,Dark Arts Jiu Jitsu Brentwood,darkartsjiujitsu_brentwood,11:00AM,,,
Massachusetts,Framingham,Alliance Jiu Jitsu Framingham,alliancejiujitsuframingham,,,,
Connecticut,East Hartford,Silverback Training Facility,silverbacktrainingfacility,,,,
Massachusetts,Clinton,Alchemy Brazilian Jiu-Jitsu,alchemy_brazilian_jiujitsu,,10:00AM,,
Massachusetts,Hyannis,Hyannis Mixed Martial Arts,hyannis_mixed_martial_arts,,,,
Maine,Ellsworth,Acadia Brazilian Jiu-Jitsu,acadia_brazilian_jiu_jitsu,8:30AM,,,
Connecticut,Bridgeport,Marcelo Garcia JJ,bridgeport_marcelogarciajj,,11:00AM,,
Massachusetts,Westwood,The Lab Jiu-Jitsu,the_lab_jiu_jitsu_westwood,11:00AM,11:00AM,,
New Hampshire,Swanzey,Monadnock BJJ,monadnockbrazilianjiujitsu,11:00AM,,,
Massachusetts,Norwood,Connor’s Martial Arts Academy,connorsmartialartsacademy,,,,
Vermont,Williston,Rodrigo Medeiros BJJ,bjjrevolutionteamofficial,,,,
Massachusetts,Watertown,Theodorou Academy of Jiu Jitsu,theodorouacademyjiujitsu,,,,
Vermont,South Burlington,High Hat Brazilian Jiu-Jitsu,highhatbrazilianjiujitsu,,11:00AM,,
Vermont,Burlington,Green Mountain Martial Arts,greenmountainmartialarts,,,,
Connecticut,Greenwich,Greenwich Jiu Jitsu Academy,greenwichjiujitsuacademy,,,,
Massachusetts,Melrose,Nirvana Brazilian Jiu Jitsu,nirvanabrazilianjiujitsu,,,,
Massachusetts,Arlington,Boston Submission Fighting,bostonsubmissionfighting,11:00AM,10:00AM,y,
Connecticut,New London,Whaling City Athletic Club,whalingcity.athleticclub,7:00AM,,,
Massachusetts,Fall River,Regiment Training Center,regiment_training_center,,10:00AM,,
Vermont,Essex Junction,Gracie Jiu Jitsu Vermont,gracie_jiu_jitsu_vermont,11:00AM,,,
Massachusetts,Danvers,20000 Leagues Jiu Jitsu,20000_leagues_jiu_jitsu_,8:00AM,,,
New Hampshire,Manchester,Gracie Jiu-Jitsu,graciejiujitsumanchester,,,,
Rhode Island,Cranston,Balleto Advanced Training,balletoadvancedtraining,,,,
Massachusetts,Medford,Sigma Martial Arts and Fitness,sigmamartialartsfitness,,,,
Massachusetts,Springfield,Springfield Submission Society,springfieldmabjjsociety,,,,
Massachusetts,Bedford,Bernardo Faria BJJ Academy,bernardofariabjjacademy,1:00PM,11:30AM,,
Massachusetts,New Bedford,South Coast Self Defense,southcoastselfdefensema,,,,
Connecticut,Wallingford,Performance Combat MMA,performance_combat_mike,,,,
Massachusetts,Fairhaven,Danny Savery BJJ,dannysaverybjjfairhaven,,,,
New Hampshire,Londonderry,Off Your Back Jiu Jitsu,offyourbackbjj.academy,,,,
Rhode Island,Pawtucket,Tri Force Training Center,triforcetrainingcenter,,,,
Massachusetts,Beverly,Invictus Training Center,invictustrainingcenter,11:00AM,10:00AM,,
Massachusetts,Westborough,Integrated Martial Arts,integrated_martialarts,1:00PM,,,
Maine,Sanford,Clandestine Submissions,clandestinesubmissions,,,,
Massachusetts,Manchester,Checkmate Martial Arts,checkmate_martial_arts,,,,
Massachusetts,Tewksbury,Daniel Gracie Academy,danielgracienorthshore,,,,
Massachusetts,Somerset,Danny Savery BJJ,dannysaverybjjsomerset,,,,
Maine,Biddeford,Team Moreira,team_moreira_biddeford,,,,
New Hampshire,Derry,Primal Jiu Jitsu,primaljiujitsuacademy,10:00AM,,,
Massachusetts,Boston,Travis Stevens Academy,travisstevensjiujitsu,,,,
Massachusetts,Westminster,Mantis Boxing,randybrownmantisboxer,,,,
New Hampshire,Seabrook,Flow With The Go Jiu-Jitsu,flowwiththegojiujitsu,10:00AM,10:00AM,,
Connecticut,West Hartford,Plus One Defense Systems,plusonedefensesystems,12:30PM,,,
Massachusetts,"Swampscott, MA",New England Warrior Arts,newenglandwarriorarts,,,,
Maine,Farmingdale,Team Lawton Martial Arts,teamlawtonmartialarts,,,,
Connecticut,Middlebury,Campanella Martial Arts,campanellamartialarts,,,,
Connecticut,Bethel,Teixeira MMA & Fitness,teixeirammaandfitness,,,,
Massachusetts,North Reading,Imperium Martial Arts,imperium_martial_arts,10:30AM,10:00AM,,
Massachusetts,Marlborough,Gorilla Martial Arts,gorilla_martial_arts_,11:00AM,,,
Rhode Island,Bristol,Danny Savery BJJ,dannysaverybjjbristol,,,,
Massachusetts,Newton,Gracie Barra,gracie_barra_jiujitsu,12:30PM,,,
Massachusetts,Falmouth,Daniel Gracie Academy,danielgraciefalmouth,,,,
Massachusetts,Plymouth,Daniel Gracie Academy,danielgracieplymouth,,,,
New Hampshire,Concord,Leverage Jiu-Jitsu Academy,leverage_jiujitsu_nh,,10:00AM,y,
Connecticut,Orange,Black Wolf Martial Arts,blackwolfmartialarts,,10:00AM,,
Massachusetts,Jamaica Plain,JP Martial Arts Academy,jpmartialartsacademy,,,,
Massachusetts,Dedham,Gracie Jiu Jitsu Dedham,graciejiujitsudedham,,,,
Massachusetts,Quincy,Gracie Jiu Jitsu Quincy,graciejiujitsuquincy,,,,
Massachusetts,Waltham,Atlas Jiu Jitsu Waltham,atlasjiujitsuwaltham,,,,
Massachusetts,Watertown,Kimura BJJ USA Official,kimurabjjusaofficial,,,,
Massachusetts,Whitman,Giannetti Martial Arts,giannettimartialarts,,9:00AM,y,
Connecticut,Cromwell,TRITAC Training Center,tritactrainingcenter,,,,
Massachusetts,W. Springfield,Battleground JiuJitsu,battlegroundjiujitsu,12:00PM,,,
New Hampshire,Conway,Nomad Grappling Club,nomad_grappling_club,,,,
Rhode Island,Newport,Newport Martial Arts,newportmartialartsri,,,,
Connecticut,Bristol,Ascension Athletics,ascensionathleticsct,,,,
Massachusetts,New Bedford,Fight Sports Boston,fightsportsbostonbjj,12:00PM,,,
Connecticut,Vernon,Gonzalez Grappling,gonzalezgrapplingllc,,,,
Connecticut,Brooklyn,Team Squared BJJ,squared_bjj_brooklyn,,,,
Connecticut,Colchester,360 Defense,360defensecolchester,,,,
Massachusetts,Leominster,Squared BJJ,squaredbjjleominster,,,,
Massachusetts,Newton,Day 1 BJJ,day1_jiujitsu_newton,12:00PM,11:00AM,,
Massachusetts,W. Springfield,Gabriel Gladiator,gabrielgladiator.tc,,,,
Massachusetts,West Bridgewater,Luiz Paulo Brazilian Jiu Jitsu,luizpaulojiujitsuwb,,,,
Massachusetts,Westborough,Alliance Jiu Jitsu,alliancewestborough,12:00PM,,,
Massachusetts,Hanover,Daniel Gracie Academy,danielgraciehanover,10:30AM,,,
Massachusetts,Hyannis,Daniel Gracie Academy,danielgraciehyannis,,,,
Massachusetts,Orleans,Daniel Gracie Academy,danielgracieorleans,,,,
Vermont,Brattleboro,Gracie Jiu-Jitsu Brattleboro,brattleborojiujitsu,,,,
Vermont,Middlebury,Middlebury AJJ Academy,middlebury_jiujitsu,,,,
New Hampshire,Laconia,Lakes Region Vale Tudo,lakesregionvaletudo,,10:30AM,,
Vermont,Londonderry,Team Jucão Vermont BJJ,teamjucaovermontbjj,,,,
Massachusetts,North Adams,Steeple City JiuJitsu,steeplecityjiujitsu,11:00AM,,,
Massachusetts,Northborough,Daniel Gracie Academy,danielgracieacademy,11:00AM,10:00AM,,
