State,Town,Name,IG,Saturday,Sunday,
CT,Bridgeport,Marcelo Garcia JJ,bridgeport_marcelogarciajj,,11:00AM,
CT,Danbury,American Top Team,attconnecticut,12:00PM,,
CT,Hamden,Soulcraft / Macarra BJJ,macarra_bjj_hamden,11:00AM,11:00AM,
CT,Norwalk,Gracie Sports BJJ,graciesportsbjj,11:30AM,,
CT,Seymour,Black Hole Jiu Jitsu,blackholejj.ct,11:00AM,6:30PM,
CT,Stamford,Summit JiuJitsu,summit.jiujitsu,11:00AM,,
CT,Tolland,Secret Pages Brazilian Jiu Jitsu,secret_pages_bjj,9:00AM,,
CT,West Haven,Dandelion Jiujitsu & Wrestling,dandelionbjj,,9:00AM,
CT,Willington,Agoge Jiu Jitsu and Muay Thai,agogejjmt,,12:30PM,
MA,Acton,Mass BJJ,mass_bjj,,12:00PM,
MA,Agawam,Ironhold Jiu Jitsu,ironhold_jiujitsu_,9:30AM,,
MA,Andover,Gracie Barra Andover,graciebarraandover,,12:00PM,
MA,Arlington,New England Submission Fighting (Boston),nesfboston,11:00AM,10:00AM,
MA,Attleboro,Ronin Jiu-Jitsu,roninjiujitsu,10:00AM,10:00AM,
MA,Bedford,Bernardo Faria BJJ Academy,bernardofariabjjacademy,1:00PM,11:30AM,
MA,Beverly,Invictus Training Center,invictustrainingcenter,11:00AM,10:00AM,
MA,Boston,Gracie Barra Boston,gbbostonbjj,1:00PM,,
MA,Boston,Combat Sports Boston,combatsportsboston,,12:00PM,
MA,Boston,Back 2 Basics Jiu Jitsu,b2basics_jiujitsu,,11:00AM,
MA,Boston (Back Bay),Brazilian Top Team Boston,bttboston,12:00PM,,
MA,Boston (Back Bay),Brazilian Top Team Back Bay,bttbackbay,,10:00AM,
MA,Braintree,Gracie Barra Braintree,gbbraintree,1:00PM,,
MA,Brighton (Boston),Submit Your Friend Academy,syfabjj,11:00AM,,
MA,Brockton,Orion BJJ,orionbjj,,7:00PM,
MA,Brookline,Florian Martial Arts Center,florianmartialarts,12:00AM,,
MA,Cambridge,Ginsberg Academy BJJ,ginsbergbjj,9:00AM,,
MA,Clinton,Alchemy Brazilian Jiu-Jitsu,alchemy_brazilian_jiujitsu,,10:00AM,
MA,Danvers,20000 Leagues Jiu Jitsu,20000_leagues_jiu_jitsu_,8:00AM,,
MA,Dorchester,Empower BJJ,empowerbjjusa,11:00AM,,
MA,East Bridgewater,IN Jiujitsu,injiujitsu,,10:00AM,
MA,Fall River,Regiment Training Center,regiment_training_center,,10:00AM,
MA,Fitchburg,ZTeam Jiu-Jitsu,zteamjiujitsu,10:00AM,10:00AM,
MA,Hanover,Thurston Academy of Martial Arts,thurston_academy,,10:00AM,
MA,Hanover,PQ Jiu Jitsu,pqjiujitsu,,6:00PM,
MA,Hudson,Upper Level JiuJitsu,upperlevelhudson,,4:00PM,
MA,Hyannis,Cristyan BJJ,cristyanbjj,1:00PM,,
MA,Littleton,Unit 232 HQ,unit232.hq,,10:00 AM,
MA,Lowell,The Paradigm Academy,theparadigmacademy,,9:00AM,
MA,Lowell,The Paradigm Academy,theparadigmacademy,,6:30PM,
MA,Marblehead,First Colony Brazilian Jiu-Jitsu,firstcolonybjj,9:00AM,,
MA,Marlborough,Phoenix BJJ,phoenix_jj_official,12:00PM,12:00PM,
MA,Marlborough,Gorilla Martial Arts,gorilla_martial_arts_,11:00AM,,
MA,Marlborough,Exodus Brazilian Jiu Jitsu,exodus.jiujitsu,8:30AM,8:30AM,
MA,Middleboro,REAL BJJ,realbjjma,10:00AM,,
MA,Millis,Mohawk Martial Arts,mohawmartialarts,9:00AM,,
MA,Nantucket,Werdum Training Center,werdum.nantucket,12:30PM,,
MA,Natick,Versus Jiu-Jitsu Academy,versusjiujitsuma,12:00PM,,
MA,Newton,ATOM Jiu-Jitsu,atom_bjj,11:00AM,,
MA,Newton,Gracie Barra,gracie_barra_jiujitsu,12:30PM,,
MA,North Adams,Steeple City JiuJitsu,steeplecityjiujitsu,11:00AM,,
MA,Northborough,Daniel Gracie Academy,danielgracieacademy,11:00AM,10:00AM,
MA,Norwood,Elements MMA,elements_mma,11:00AM,,
MA,Peabody,Gentle Art Dojo (North Shore),gadnorthshore,,10:00AM,
MA,Peabody,Gracie Barra,gbpeabody,12:00PM,,
MA,Rowley,Brazilian Top Team Rowley,bttrowley,,11:00AM,
MA,Somerville,617 Brazilian Jiu Jitsu,617bjj,12:00PM,,
MA,South Boston,South Boston BJJ,southbostonbjj,,9:00AM,
MA,Springfield,Vaca BJJ & MMA,vacabjjmma_gym,9:30AM,,
MA,Springfield,Fighting Arts Academy,fightingartsacademy,10:45AM,,
MA,Taunton,Morselli Jiu Jitsu Academy,morsellijj,10:00AM,,
MA,Tewksbury,Fenix Brazilian Jiu Jitsu Tewksbury,fenixbjjtewksbury,,10:00AM,
MA,Wakefield,Team Fight Academy,teamfightacademy,12:00PM,,
MA,Waltham,Virtue Martial Arts,virtue_martialarts,2:00PM,,
MA,Westborough,Alliance Jiu Jitsu Westborough,alliancewestborough,12:00PM,,
MA,Westwood,The Lab Jiu-Jitsu,the_lab_jiu_jitsu_westwood,11:00AM,11:00AM,
MA,Whitman,Giannetti Martial Arts,giannettimartialarts,,9:00AM,
MA,Woburn,Boston Brazilian Jiu Jitsu Woburn,bostonbjjwoburn,11:30AM,,
MA,Woburn,Fenix Brazilian Jiu Jitsu Woburn,fenixbjjwoburn,11:00AM,,
MA,Worcester,Worcester MMA (Abusado Team),worcester_mma,,10:00AM,
ME,Augusta,Black Bear BJJ & Fitness,blackbear_bjj,,5:00PM,
ME,Blue Hills,Three Points BJJ,threepointsbjj,10:00AM,,
ME,Ellsworth,Rolls Jiu Jitsu,rollsjiujitsu,10:00AM,,
ME,Houlton,Aroostook Grappling Club,aroostookbjj,10:00AM,,
ME,Oakland,Bear Clan JiuJitsu,bearclan_jiujitsu,11:00AM,,
ME,Portland,Recon MMA,recon.portland,9:00AM,9:00AM,
ME,Portland,The Academy Portland,theacademymaine,1:00PM,,
ME,Portland,Stonecoast BJJ,stonecoastbjj,10:45AM,,
ME,Rockland,Flow Brazilian Jiu Jitsu,flowbjj_maine,10:00AM,,
